#Organism/Name TaxID
Onchocerca volvulus
Elaeis guineensis
Loa loa
Anopheles funestus
Amphimedon queenslandica
Steinernema carpocapsae
Ailuropoda melanoleuca
Ectocarpus siliculosus
Coccomyxa subellipsoidea
Cryptomonas paramecium
Tetranychus urticae
Drosophila albomicans
Lepeophtheirus salmonis
Saprolegnia parasitica
Pogonomyrmex barbatus
Linepithema humile
Ceratitis capitata
Bombus terrestris
Apis florea
Myzus persicae
Dictyostelium firmibasis
Dictyostelium citrinum
Dictyostelium intermedium
Polysphondylium violaceum
Oryza barthii
Cricetulus griseus
Spirodela polyrhiza
Anas platyrhynchos
Melampsora larici-populina
Rhipicephalus microplus
Mucor circinelloides
Chaetomium thermophilum
Astrammina rara
Oryza sativa
Atta cephalotes
Arachis hypogaea
Cajanus cajan
Patiria miniata
Solenopsis invicta
Nilaparvata lugens
Kluyveromyces aestuarii
Mesostigma viride
Exophiala dermatitidis
Camponotus floridanus
Chironomus riparius
Harpegnathos saltator
Erysiphe pisi
Kluyveromyces wickerhamii
Cicer arietinum
Pyrenophora teres
Claviceps paspali
Thecamonas trahens
Sphaerulina musiva
Nematocida parisii
Sarcophilus harrisii
Wickerhamomyces anomalus
Punctularia strigosozonata
Caenorhabditis angaria
Ophiognomonia clavigignenti-juglandacearum
Stereum hirsutum
Fomitopsis pinicola
Wolfiporia cocos
Phalaenopsis aphrodite
Mixia osmundae
Spathaspora passalidarum
Marchantia polymorpha
Bipolaris sorokiniana
Gossypium raimondii
Coniophora puteana
Trametes versicolor
Fomitiporia mediterranea
Latimeria chalumnae
Dictyostelium purpureum
Gregarina niphandrodes
Mustela putorius
Fragaria vesca
Botryococcus braunii
Platanista minor
Haplochromis burtoni
Neolamprologus brichardi
Pundamilia nyererei
Gelatoporia subvermispora
Bombus impatiens
Piloderma croceum
Bos indicus
Thalassiosira oceanica
Vavraia culicis
Galendromus occidentalis
Drosophila bipectinata
Drosophila elegans
Drosophila ficusphila
Drosophila kikkawai
Drosophila takahashii
Lytechinus variegatus
Strongyloides ratti
Drosophila biarmipes
Leishmania donovani
Acromyrmex echinatior
Zymoseptoria passerinii
Eucidaris tribuloides
Odocoileus virginianus
Schrenkiella parvula
Gloeophyllum trabeum
Hanseniaspora valbyensis
Neurospora tetrasperma
Amaranthus hypochondriacus
Megachile rotundata
Epichloe glyceriae
Cronartium quercuum
Aciculosporium take
Claviceps fusiformis
Epichloe brachyelytri
Conidiobolus coronatus
Drosophila rhopaloa
Drosophila eugracilis
Epichloe amarillans
Periglandula ipomoeae
Saimiri boliviensis
Linum usitatissimum
Phytophthora cinnamomi
Heterocephalus glaber
Epichloe typhina
Coemansia reversa
Gymnopus luxurians
Inia geoffrensis
Phoca vitulina
Prototheca wickerhamii
Wickerhamomyces canadensis
Equus asinus
Lampris guttatus
Percopsis transmontana
Rondeletia loricata
Beryx splendens
Zeus faber
Pagrus major
Vombatus ursinus
Bombyx mandarina
Eumetopias jubatus
Tamandua tetradactyla
Lota lota
Gambusia affinis
Monocentris japonicus
Triops cancriformis
Sphenodon punctatus
Erpetoichthys calabaricus
Eschrichtius robustus
Glis glis
Hippopotamus amphibius
Polymixia japonica
Thryonomys swinderianus
Cebus albifrons
Nycticebus coucang
Hymenolepis diminuta
Kogia breviceps
Monodon monoceros
Phocoena phocoena
Sebastes schlegelii
Mola mola
Taenia asiatica
Haliotis rubra
Philaenus spumarius
Starmerella bacillaris
Spinacia oleracea
Megaptera novaeangliae
Choloepus didactylus
Balaenoptera bonaerensis
Pogona vitticeps
Eubalaena japonica
Gavia stellata
Zancudomyces culisetae
Scleropages formosus
Melanogrammus aeglefinus
Rousettus aegyptiacus
Merlangius merlangus
Leptotrombidium deliense
Cathartes aura
Rangifer tarandus
Acanthaster planci
Denticeps clupeoides
Anisakis simplex
Rhinopithecus roxellana
Semnopithecus entellus
Trachyrincus murrayi
Vulpes vulpes
Neomonachus schauinslandi
Callorhinus ursinus
Aurelia aurita
Gyrodactylus salaris
Dibothriocephalus latus
Amphiprion ocellaris
Ammotragus lervia
Platysternon megacephalum
Nipponia nippon
Podiceps cristatus
Nasalis larvatus
Sardina pilchardus
Enhydra lutris
Gulo gulo
Trichobilharzia regenti
Lucilia sericata
Phallusia mammillata
Stylephorus chordatus
Boreogadus saida
Arctogadus glacialis
Hypophthalmichthys nobilis
Hydra oligactis
Panthera pardus
Tilletia walkeri
Toxocara canis
Oplegnathus fasciatus
Spirometra erinaceieuropaei
Echinococcus canadensis
Enterobius vermicularis
Steganacarus magnus
Podarcis muralis
Agapornis roseicollis
Bambusicola thoracicus
Trifolium subterraneum
Tilletia indica
Sousa chinensis
Tursiops aduncus
Gallirallus okinawae
Dermatophagoides pteronyssinus
Bison bison
Plasmodium fragile
Chiloscyllium plagiosum
Diceros bicornis
Dicerorhinus sumatrensis
Trichophyton mentagrophytes
Thymallus thymallus
Oryzias javanicus
Parachlorella kessleri
Angiostrongylus costaricensis
Brettanomyces custersianus
Dermatophagoides farinae
Sinocyclocheilus grahami
Dendronephthya gigantea
Venustaconcha ellipsiformis
Moschus moschiferus
Apteryx owenii
Candida viswanathii
Strongylus vulgaris
Candida sojae
Hyphantria cunea
Thunnus albacares
Paramecium caudatum
Setaria digitata
Collichthys lucidus
Groenewaldozyma salmanticensis
Micropterus floridanus
Hydatigera taeniaeformis
Cuora amboinensis
Pollachius virens
Castor canadensis
Merluccius merluccius
Rhinopithecus bieti
Phasianus colchicus
Pachysolen tannophilus
Catenaria anguillulae
Botryobasidium botryosum
Phialocephala subalpina
Pygocentrus nattereri
Lagenaria siceraria
Bankia setacea
Chinchilla lanigera
Hypholoma sublateritium
Leptonychotes weddellii
Ovis canadensis
Pieris rapae
Acropora digitifera
Eptatretus burgeri
Lipomyces starkeyi
Lepisosteus oculatus
Arthrobotrys oligospora
Cordyceps militaris
Manis pentadactyla
Thermothelomyces thermophilus
Thielavia terrestris
Cucumis melo
Citrus sinensis
Schistosoma haematobium
Echinococcus granulosus
Plasmodium gallinaceum
Gossypium hirsutum
Penaeus vannamei
Argopecten irradians
Dunaliella salina
Pongo pygmaeus
Cochliomyia hominivorax
Columba livia
Chrysolophus pictus
Morone saxatilis
Olea europaea
Castanea mollissima
Pan paniscus
Capra hircus
Tetrahymena malaccensis
Camelus dromedarius
Camelus bactrianus
Proteromonas lacertae
Silene latifolia
Notothenia coriiceps
Bactrocera dorsalis
Dirofilaria immitis
Crassostrea gigas
Fagopyrum esculentum
Taenia saginata
Xiphophorus maculatus
Melopsittacus undulatus
Jaculus jaculus
Teladorsagia circumcincta
Citrullus lanatus
Balaenoptera acutorostrata
Gossypium barbadense
Locusta migratoria
Carassius auratus
Tetradesmus obliquus
Pantholops hodgsonii
Gadus chalcogrammus
Thunnus thynnus
Saccharum hybrid
Cervus elaphus
Ailurus fulgens
Brachionus plicatilis
Panthera tigris
Eulemur fulvus
Moniliophthora roreri
Penicillium chrysogenum
Podospora anserina
Dracunculus medinensis
Anguilla anguilla
Ophiophagus hannah
Cyprinus carpio
Heliconius cydno
Heliconius melpomene
Paralichthys olivaceus
Microtus ochrogaster
Condylura cristata
Tetrahymena borealis
Tetrahymena elliotti
Aspergillus sojae
Oryza brachyantha
Saitoella complicata
Trypanosoma congolense
Trypanosoma vivax
Sporisorium reilianum
Avena sativa
Fusarium sporotrichioides
Capsicum annuum
Kluyveromyces marxianus
Brassica oleracea
Sarcocystis neurona
Mastigamoeba balamuthi
Apteryx australis
Meloidogyne arenaria
Meloidogyne javanica
Drosophila miranda
Drosophila americana
Drosophila novamexicana
Drosophila hydei
Heliothis virescens
Nicotiana benthamiana
Entamoeba moshkovskii
Phaseolus coccineus
Tuber borchii
Ancylostoma ceylanicum
Gossypium arboreum
Leucoraja erinacea
Daphnia magna
Rhinolophus ferrumequinum
Oryza officinalis
Oryza minuta
Bicyclus anynana
Aegilops tauschii
Oryza punctata
Solanum melongena
Musa acuminata
Asparagus officinalis
Eragrostis tef
Setaria italica
Lentinula edodes
Spodoptera frugiperda
Brassica juncea
Brassica nigra
Trypanosoma rangeli
Calanus finmarchicus
Cenchrus americanus
Phlebotomus papatasi
Citrus maxima
Nippostrongylus brasiliensis
Quercus robur
Hordeum bulbosum
Sphaeroforma arctica
Pneumocystis murina
Eleusine coracana
Pneumocystis jirovecii
Plasmopara viticola
Saccharomycodes ludwigii
Lupinus angustifolius
Pinus taeda
Nosema bombycis
Camellia sinensis
Vigna unguiculata
Tremella mesenterica
Trifolium pratense
Rosa multiflora
Vigna angularis
Aquilegia coerulea
Pinus sylvestris
Theileria equi
Dioscorea alata
Alternaria alternata
Claviceps purpurea
Fusarium circinatum
Mortierella alpina
Cercospora beticola
Ganoderma lucidum
Dendroctonus ponderosae
Fragilariopsis cylindrus
Serinus canaria
Reticulomyxa filosa
Picea glauca
Rotylenchulus reniformis
Stomoxys calcitrans
Adineta ricciae
Cimex lectularius
Solanum pimpinellifolium
Oryza longistaminata
Cynara cardunculus
Oryza meyeriana
Citrus clementina
Asclepias syriaca
Oryza glumipatula
Oryza meridionalis
Colletotrichum higginsianum
Penicillium expansum
Peromyscus maniculatus
Peromyscus polionotus
Phalaenopsis equestris
Encephalitozoon hellem
Ophiocordyceps sinensis
Eremothecium cymbalariae
Penicillium decumbens
Oncopeltus fasciatus
Crithidia mellificae
Sebastes rubrivinctus
Leptosphaeria maculans
Fusarium virguliforme
Edhazardia aedis
Pyronema omphalodes
Craspedacusta sowerbii
Rhizomucor miehei
Ceratocystis fimbriata
